arm,diagnostic,split,coarse_type,pi_mae,s_mae,theta1_mae,theta2_mae,s_defined,rows,theta_mae_bothsubtypes
D3_stage1_joint,D3,val,B,0.04892179924242424,0.46143751742424244,0.08921287174154696,0.12504765643851667,1320,1320,0.10713026409003182
D3_stage1_joint,D3,val,CD4 T,0.061848463636363635,0.4884434303030303,0.08870100009114622,0.14983880381823714,1320,1320,0.11926990195469167
D3_stage1_joint,D3,val,CD8 T,0.020666222727272726,0.4014100840909091,0.09751006409494621,0.09461729141709772,1320,1320,0.09606367775602197
D3_stage1_joint,D3,val,Mono,0.04542772121212121,0.24198731818181815,0.05413181286514091,0.08079948271236363,1320,1320,0.06746564778875228
D3_stage2_rna,D3,test,B,0.06884216212121212,0.3630983962121212,0.0606921549429356,0.11022884974799015,1320,1320,0.08546050234546287
D3_stage2_rna,D3,test,CD4 T,0.06771534772727272,0.40462322272727275,0.08945931847939469,0.10804874462071894,1320,1320,0.09875403155005681
D3_stage2_rna,D3,test,CD8 T,0.022793476515151515,0.28675747045454547,0.06270738548671516,0.07304254491201818,1320,1320,0.06787496519936667
D3_stage2_rna,D3,test,Mono,0.02415327196969697,0.09090005454545455,0.023374729154975002,0.02668591599938864,1320,1320,0.02503032257718182
D3_stage2_rna,D3,val,B,0.04892179924242424,0.3750152295454546,0.07598829499399849,0.09672699948369394,1320,1320,0.08635764723884622
D3_stage2_rna,D3,val,CD4 T,0.06184846287878788,0.43241517500000004,0.08609534583374545,0.10456949533353183,1320,1320,0.09533242058363864
D3_stage2_rna,D3,val,CD8 T,0.02066622121212121,0.23831095075757575,0.055217326806564396,0.05892849740720531,1320,1320,0.05707291210688485
D3_stage2_rna,D3,val,Mono,0.04542772121212121,0.0890185553030303,0.028701768826705304,0.03769027899447046,1320,1320,0.03319602391058788
